code	plaintext	status
493^CircleWithHorizontalBar	<IL>	R1038 transcription
493^^	op	R1038 transcription
493^_	<IL>	R1038 transcription
493^o	tera	R1038 transcription
494	<IL>	R1038 transcription
"494^"""	brecken?	R1038 transcription
494^CircleWithHorizontalBar	<IL>	R1038 transcription
494^^	van	R1038 transcription
494^_	<IL>	R1038 transcription
494^o	tellemant	R1038 transcription
495	ete	R1038 transcription
"495^"""	<IL>	R1038 transcription
495^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
495^^	posteerrn	R1038 transcription
495^_	<IL>	R1038 transcription
495^o	tien	R1038 transcription
496	etre	R1038 transcription
"496^"""	<IL>	R1038 transcription
496^CircleWithHorizontalBar	<IL>	R1038 transcription
496^^	<IL>	R1038 transcription
496^_	<IL>	R1038 transcription
496^o	tÿding	R1038 transcription
497	even	R1038 transcription
"497^"""	<IL>	R1038 transcription
497^CircleWithHorizontalBar	de Haar? de Swart	R1038 transcription
497^^	pouvrir	R1038 transcription
497^_	<IL>	R1038 transcription
497^o	tir	R1038 transcription
498	evident	R1038 transcription
"498^"""	by	R1038 transcription
498^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
498^^	prealable	R1038 transcription
498^_	<IL>	R1038 transcription
498^o	toedoen	R1038 transcription
499	Europa	R1038 transcription
"499^"""	by ?	R1038 transcription
499^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
499^^	precipitieren	R1038 transcription
499^_	<IL>	R1038 transcription
499^o	toestand van Zaaken	R1038 transcription
500	eut	R1038 transcription
"500^"""	by mu?	R1038 transcription
500^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
500^^	prejudic	R1038 transcription
500^_	d	R1038 transcription
500^o	tort	R1038 transcription
501	exager?	R1038 transcription
"501^"""	<IL>	R1038 transcription
501^CircleWithHorizontalBar	de keizerin	R1038 transcription
501^^	prendre	R1038 transcription
501^_	een	R1038 transcription
501^o	tot cen?	R1038 transcription
502	<IL>	R1038 transcription
"502^"""	<IL>	R1038 transcription
502^CircleWithHorizontalBar	Haar Majesteit	R1038 transcription
502^^	predenteeren	R1038 transcription
502^_	hem	R1038 transcription
502^o	tou	R1038 transcription
503	Zÿn Excell.	R1038 transcription
"503^"""	canceler	R1038 transcription
503^CircleWithHorizontalBar	<IL>	R1038 transcription
503^^	presum	R1038 transcription
503^_	n	R1038 transcription
503^o	tra	R1038 transcription
504	excus?	R1038 transcription
"504^"""	<IL>	R1038 transcription
504^CircleWithHorizontalBar	<IL>	R1038 transcription
504^^	<IL>	R1038 transcription
504^_	s	R1038 transcription
504^o	<IL>	R1038 transcription
505	exemplair	R1038 transcription
"505^"""	<IL>	R1038 transcription
505^CircleWithHorizontalBar	<IL>	R1038 transcription
505^^	prie	R1038 transcription
505^_	z	R1038 transcription
505^o	tragt?	R1038 transcription
506	<IL>	R1038 transcription
"506^"""	<IL>	R1038 transcription
506^CircleWithHorizontalBar	dit Hof	R1038 transcription
506^^	de Prins F	R1038 transcription
506^_	d	R1038 transcription
506^o	Traite de D	R1038 transcription
507	<IL>	R1038 transcription
"507^"""	<IL>	R1038 transcription
507^CircleWithHorizontalBar	dat	R1038 transcription
507^^	priv	R1038 transcription
507^_	eer	R1038 transcription
507^o	<IL>	R1038 transcription
508	<IL>	R1038 transcription
"508^"""	<IL>	R1038 transcription
508^CircleWithHorizontalBar	eerd	R1038 transcription
508^^	prochain	R1038 transcription
508^_	hen	R1038 transcription
508^o	Traite de Londres	R1038 transcription
509	<IL>	R1038 transcription
"509^"""	<IL>	R1038 transcription
509^CircleWithHorizontalBar	ik	R1038 transcription
509^^	<EMPTY>	R1038 transcription
509^_	n	R1038 transcription
509^o	trans	R1038 transcription
510	<IL>	R1038 transcription
"510^"""	<IL>	R1038 transcription
510^CircleWithHorizontalBar	n	R1038 transcription
510^^	<IL>	R1038 transcription
510^_	s	R1038 transcription
510^o	treden	R1038 transcription
511	<IL>	R1038 transcription
"511^"""	<IL>	R1038 transcription
511^CircleWithHorizontalBar	re	R1038 transcription
511^^	project	R1038 transcription
511^_	zal	R1038 transcription
511^o	Tresorie	R1038 transcription
512	<IL>	R1038 transcription
"512^"""	<IL>	R1038 transcription
512^CircleWithHorizontalBar	wil	R1038 transcription
512^^	promptitude	R1038 transcription
512^_	interpreteeren F	R1038 transcription
512^o	troubl	R1038 transcription
513	<IL>	R1038 transcription
"513^"""	<IL>	R1038 transcription
513^CircleWithHorizontalBar	dat	R1038 transcription
513^^	propos	R1038 transcription
513^_	intent?	R1038 transcription
513^o	reguliere Trupes	R1038 transcription
514	<IL>	R1038 transcription
"514^"""	chi	R1038 transcription
514^CircleWithHorizontalBar	eeren	R1038 transcription
514^^	protectu? F	R1038 transcription
514^_	ingleteeren?	R1038 transcription
514^o	tuer	R1038 transcription
515	<IL>	R1038 transcription
"515^"""	<IL>	R1038 transcription
515^CircleWithHorizontalBar	il	R1038 transcription
515^^	protestatie	R1038 transcription
515^_	irregilier	R1038 transcription
515^o	<IL>	R1038 transcription
516	<IL>	R1038 transcription
"516^"""	<EMPTY>	R1038 transcription
516^CircleWithHorizontalBar	n	R1038 transcription
516^^	bÿ providie	R1038 transcription
516^_	is	R1038 transcription
516^o	<IL>	R1038 transcription
517	<IL>	R1038 transcription
"517^"""	<IL>	R1038 transcription
517^CircleWithHorizontalBar	rr	R1038 transcription
517^^	public	R1038 transcription
517^_	iteet/ideet?	R1038 transcription
517^o	vader	R1038 transcription
518	<IL>	R1038 transcription
"518^"""	<IL>	R1038 transcription
518^CircleWithHorizontalBar	ÿ	R1038 transcription
518^^	puis	R1038 transcription
518^_	julÿ	R1038 transcription
518^o	Vaisseau de Ligne	R1038 transcription
519	<IL>	R1038 transcription
"519^"""	<IL>	R1038 transcription
519^CircleWithHorizontalBar	de Keizer	R1038 transcription
519^^	<IL>	R1038 transcription
519^_	K	R1038 transcription
519^o	van	R1038 transcription
520	<IL>	R1038 transcription
"520^"""	<IL>	R1038 transcription
520^CircleWithHorizontalBar	de keizerin	R1038 transcription
520^^	qu	R1038 transcription
520^_	kan	R1038 transcription
520^o	<IL>	R1038 transcription
521	<IL>	R1038 transcription
"521^"""	<IL>	R1038 transcription
521^CircleWithHorizontalBar	haar keiz Maj.t	R1038 transcription
521^^	quant	R1038 transcription
521^_	Keizerin	contextual inference
521^o	van dit Ministerie	R1038 transcription
522	c	R1038 transcription
"522^"""	<IL>	R1038 transcription
522^CircleWithHorizontalBar	de Koning	R1038 transcription
522^^	<IL>	R1038 transcription
522^_	<IL>	R1038 transcription
522^o	vanteer	R1038 transcription
523	e	R1038 transcription
"523^"""	<IL>	R1038 transcription
523^CircleWithHorizontalBar	de Koningin	R1038 transcription
523^^	question	R1038 transcription
523^_	ker	R1038 transcription
523^o	van Zÿn Hof	R1038 transcription
524	heb	R1038 transcription
"524^"""	<IL>	R1038 transcription
524^CircleWithHorizontalBar	zÿn Majesteit	R1038 transcription
524^^	qu'il	R1038 transcription
524^_	klagt	R1038 transcription
524^o	vast?	R1038 transcription
525	maar	R1038 transcription
"525^"""	<IL>	R1038 transcription
525^CircleWithHorizontalBar	haar Majesteit	R1038 transcription
525^^	qu'on	R1038 transcription
525^_	komen	R1038 transcription
525^o	veel	R1038 transcription
526	pu/qu?	R1038 transcription
"526^"""	<IL>	R1038 transcription
526^CircleWithHorizontalBar	de groot Vorst	R1038 transcription
526^^	ra	R1038 transcription
526^_	kon	R1038 transcription
526^o	veer	R1038 transcription
527	ver	R1038 transcription
"527^"""	<IL>	R1038 transcription
527^CircleWithHorizontalBar	d' Aarts hartog?	R1038 transcription
527^^	<IL>	R1038 transcription
527^_	konnen	R1038 transcription
527^o	vel	R1038 transcription
528	e	R1038 transcription
"528^"""	<IL>	R1038 transcription
528^CircleWithHorizontalBar	<IL>	R1038 transcription
528^^	rang	R1038 transcription
528^_	de Koning F	R1038 transcription
528^o	venn	R1038 transcription
"529^"""	<IL>	R1038 transcription
529^CircleWithHorizontalBar	<IL>	R1038 transcription
529^^	rapport	R1038 transcription
529^_	de Koningin F	R1038 transcription
529^o	ver	R1038 transcription
530	heed	R1038 transcription
"530^"""	<IL>	R1038 transcription
530^CircleWithHorizontalBar	zÿn Hoogheld	R1038 transcription
530^^	re	R1038 transcription
530^_	<IL>	R1038 transcription
530^o	veranderen	R1038 transcription
531	men	R1038 transcription
"531^"""	<IL>	R1038 transcription
531^CircleWithHorizontalBar	de Prins van	R1038 transcription
531^^	realiteit	R1038 transcription
531^_	kort?	R1038 transcription
531^o	verbins	R1038 transcription
532	r	R1038 transcription
"532^"""	<IL>	R1038 transcription
532^CircleWithHorizontalBar	de Vorstin van	R1038 transcription
532^^	<IL>	R1038 transcription
532^_	kun	R1038 transcription
532^o	verbreeken	R1038 transcription
533	u	R1038 transcription
"533^"""	<IL>	R1038 transcription
533^CircleWithHorizontalBar	de Mackgraafin van	R1038 transcription
533^^	<IL>	R1038 transcription
533^_	kunnen de	R1038 transcription
533^o	verder	R1038 transcription
534	ferris?	R1038 transcription
"534^"""	<IL>	R1038 transcription
534^CircleWithHorizontalBar	de Heer	R1038 transcription
534^^	<IL>	R1038 transcription
534^_	laaden	R1038 transcription
534^o	<IL>	R1038 transcription
535	festin?	R1038 transcription
"535^"""	<IL>	R1038 transcription
535^CircleWithHorizontalBar	het Hof	R1038 transcription
535^^	<IL>	R1038 transcription
535^_	laast ?	R1038 transcription
535^o	<IL>	R1038 transcription
536	<IL>	R1038 transcription
"536^"""	<IL>	R1038 transcription
536^CircleWithHorizontalBar	het Hof te	R1038 transcription
536^^	reden	R1038 transcription
536^_	laat?	R1038 transcription
536^o	<IL>	R1038 transcription
537	finaatie?	R1038 transcription
"537^"""	<IL>	R1038 transcription
537^CircleWithHorizontalBar	het Hof van	R1038 transcription
537^^	reedo	R1038 transcription
537^_	laist	R1038 transcription
537^o	<EMPTY>	R1038 transcription
538	flotte	R1038 transcription
"538^"""	<IL>	R1038 transcription
538^CircleWithHorizontalBar	<IL>	R1038 transcription
538^^	reflio?	R1038 transcription
538^_	<EMPTY>	R1038 transcription
538^o	<IL>	R1038 transcription
539	font	R1038 transcription
"539^"""	<IL>	R1038 transcription
539^CircleWithHorizontalBar	het Ministrie te	R1038 transcription
539^^	reg	R1038 transcription
539^_	lang	R1038 transcription
539^o	<IL>	R1038 transcription
540	<IL>	R1038 transcription
"540^"""	<IL>	R1038 transcription
540^CircleWithHorizontalBar	l' Ambassadeur van	R1038 transcription
540^^	Reguring	R1038 transcription
540^_	le	R1038 transcription
540^o	<IL>	R1038 transcription
541	<IL>	R1038 transcription
"541^"""	<IL>	R1038 transcription
541^CircleWithHorizontalBar	Minister ?	R1038 transcription
541^^	<IL>	R1038 transcription
541^_	lecture?	R1038 transcription
541^o	verlang	R1038 transcription
542	<IL>	R1038 transcription
"542^"""	<IL>	R1038 transcription
542^CircleWithHorizontalBar	de Minister van	R1038 transcription
542^^	<IL>	R1038 transcription
542^_	leer	R1038 transcription
542^o	<IL>	R1038 transcription
543	<IL>	R1038 transcription
"543^"""	<IL>	R1038 transcription
543^CircleWithHorizontalBar	de Secretaris van	R1038 transcription
543^^	relatif	R1038 transcription
543^_	leid	R1038 transcription
543^o	c	R1038 transcription
544	<IL>	R1038 transcription
"544^"""	<IL>	R1038 transcription
544^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
544^^	rempl	R1038 transcription
544^_	les	R1038 transcription
544^o	e	R1038 transcription
545	ful?	R1038 transcription
"545^"""	cyffer	R1038 transcription
545^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
545^^	<IL>	R1038 transcription
545^_	<IL>	R1038 transcription
545^o	heb	R1038 transcription
546	gaan	R1038 transcription
"546^"""	a	R1038 transcription
546^CircleWithHorizontalBar	de Republicq	R1038 transcription
546^^	<IL>	R1038 transcription
546^_	leven?	R1038 transcription
546^o	m	R1038 transcription
547	galeÿ	R1038 transcription
"547^"""	des	R1038 transcription
547^CircleWithHorizontalBar	de Staat	R1038 transcription
547^^	<IL>	R1038 transcription
547^_	libre	R1038 transcription
547^o	op	R1038 transcription
548	gard	R1038 transcription
"548^"""	f	R1038 transcription
548^CircleWithHorizontalBar	de Staat der ? Nederladen	R1038 transcription
548^^	<IL>	R1038 transcription
548^_	<IL>	R1038 transcription
548^o	w	R1038 transcription
549	ge	R1038 transcription
"549^"""	la	R1038 transcription
549^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
549^^	representieren	R1038 transcription
549^_	<IL>	R1038 transcription
549^o	c	R1038 transcription
550	ge	R1038 transcription
"550^"""	p	R1038 transcription
550^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
550^^	res	R1038 transcription
550^_	liv?	R1038 transcription
550^o	e	R1038 transcription
551	geallicare?	R1038 transcription
"551^"""	ver	R1038 transcription
551^CircleWithHorizontalBar	haar Ed Meg?	R1038 transcription
551^^	<IL>	R1038 transcription
551^_	lost	R1038 transcription
551^o	hem	R1038 transcription
552	<IL>	R1038 transcription
"552^"""	ao	R1038 transcription
552^CircleWithHorizontalBar	Zeeland	R1038 transcription
552^^	<IL>	R1038 transcription
552^_	<IL>	R1038 transcription
552^o	m	R1038 transcription
553	<IL>	R1038 transcription
"553^"""	die'	R1038 transcription
553^CircleWithHorizontalBar	<IL>	R1038 transcription
553^^	resolutte	R1038 transcription
553^_	loos	R1038 transcription
553^o	p	R1038 transcription
554	gee	R1038 transcription
"554^"""	g	R1038 transcription
554^CircleWithHorizontalBar	<IL>	R1038 transcription
554^^	<IL>	R1038 transcription
554^_	lui?	R1038 transcription
554^o	wel	R1038 transcription
555	geeft?	R1038 transcription
"555^"""	le	R1038 transcription
555^CircleWithHorizontalBar	<IL>	R1038 transcription
555^^	<IL>	R1038 transcription
555^_	lÿ	R1038 transcription
555^o	verlos	R1038 transcription
556	geen	R1038 transcription
"556^"""	pe	R1038 transcription
556^CircleWithHorizontalBar	<IL>	R1038 transcription
556^^	<IL>	R1038 transcription
556^_	lÿst	R1038 transcription
556^o	verneem	R1038 transcription
557	<IL>	R1038 transcription
"557^"""	ver	R1038 transcription
557^CircleWithHorizontalBar	<IL>	R1038 transcription
557^^	respect	R1038 transcription
557^_	maak?	R1038 transcription
557^o	vernietigen	R1038 transcription
558	<IL>	R1038 transcription
"558^"""	benracy?	R1038 transcription
558^CircleWithHorizontalBar	Minister Plenipotentiers	R1038 transcription
558^^	respensabel	R1038 transcription
558^_	maand	R1038 transcription
558^o	verpligt	R1038 transcription
559	gehas	R1038 transcription
"559^"""	ben	R1038 transcription
559^CircleWithHorizontalBar	Agent	R1038 transcription
559^^	a	R1038 transcription
559^_	<IL>	R1038 transcription
559^o	vers	R1038 transcription
560	<IL>	R1038 transcription
"560^"""	bergen	R1038 transcription
560^CircleWithHorizontalBar	<IL>	R1038 transcription
560^^	dit	R1038 transcription
560^_	magazÿn	R1038 transcription
560^o	verspreid	R1038 transcription
561	gek	R1038 transcription
"561^"""	bestain	R1038 transcription
561^CircleWithHorizontalBar	de Hr Galliers	R1038 transcription
561^^	f	R1038 transcription
561^_	haar Majesteit f	R1038 transcription
561^o	vertaaling	R1038 transcription
562	geld	R1038 transcription
"562^"""	betaaling	R1038 transcription
562^CircleWithHorizontalBar	<IL>	R1038 transcription
562^^	la	R1038 transcription
562^_	<IL>	R1038 transcription
562^o	<IL>	R1038 transcription
563	gelieren	R1038 transcription
"563^"""	beweeg	R1038 transcription
563^CircleWithHorizontalBar	de Secretariet Swart	R1038 transcription
563^^	p	R1038 transcription
563^_	<IL>	R1038 transcription
563^o	vervolg	R1038 transcription
564	<IL>	R1038 transcription
"564^"""	<IL>	R1038 transcription
564^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
564^^	ve	R1038 transcription
564^_	<IL>	R1038 transcription
564^o	verzenden	R1038 transcription
565	<IL>	R1038 transcription
"565^"""	bin	R1038 transcription
565^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
565^^	aa	R1038 transcription
565^_	<IL>	R1038 transcription
565^o	vos	R1038 transcription
566	<IL>	R1038 transcription
"566^"""	bleid	R1038 transcription
566^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
566^^	e	R1038 transcription
566^_	<IL>	R1038 transcription
566^o	veut	R1038 transcription
567	<IL>	R1038 transcription
"567^"""	<IL>	R1038 transcription
567^CircleWithHorizontalBar	de keizerin	R1038 transcription
567^^	g	R1038 transcription
567^_	<IL>	R1038 transcription
567^o	victorie	R1038 transcription
568	<IL>	R1038 transcription
"568^"""	bombardieren F	R1038 transcription
568^CircleWithHorizontalBar	Haar Majesteit	R1038 transcription
568^^	le	R1038 transcription
568^_	<IL>	R1038 transcription
568^o	vig	R1038 transcription
569	gen	R1038 transcription
"569^"""	boven die*	R1038 transcription
569^CircleWithHorizontalBar	<IL>	R1038 transcription
569^^	pa	R1038 transcription
569^_	<IL>	R1038 transcription
569^o	vÿandelÿk	R1038 transcription
570	geneig	R1038 transcription
"570^"""	breug?	R1038 transcription
570^CircleWithHorizontalBar	de Groot Vorst	R1038 transcription
570^^	ver	R1038 transcription
570^_	maxime?	R1038 transcription
570^o	vinde	R1038 transcription
571	geneeg	R1038 transcription
"571^"""	brief ? der	R1038 transcription
571^CircleWithHorizontalBar	het Hof	R1038 transcription
571^^	post scriptum	R1038 transcription
571^_	mediateur	R1038 transcription
571^o	viol	R1038 transcription
572	<IL>	R1038 transcription
"572^"""	<IL>	R1038 transcription
572^CircleWithHorizontalBar	dit Hof	R1038 transcription
572^^	pourr	R1038 transcription
572^_	meer	R1038 transcription
572^o	vit	R1038 transcription
573	<IL>	R1038 transcription
"573^"""	<IL>	R1038 transcription
573^CircleWithHorizontalBar	de	R1038 transcription
573^^	pract	R1038 transcription
573^_	<IL>	R1038 transcription
573^o	neutraale Vlag	R1038 transcription
574	<IL>	R1038 transcription
"574^"""	by	R1038 transcription
574^CircleWithHorizontalBar	en	R1038 transcription
574^^	<IL>	R1038 transcription
574^_	<IL>	R1038 transcription
574^o	<IL>	R1038 transcription
575	gernan?	R1038 transcription
"575^"""	by den	R1038 transcription
575^CircleWithHorizontalBar	im	R1038 transcription
575^^	precis	R1038 transcription
575^_	<IL>	R1038 transcription
575^o	voe	R1038 transcription
576	<IL>	R1038 transcription
"576^"""	by na?	R1038 transcription
576^CircleWithHorizontalBar	na	R1038 transcription
576^^	prejudiciabel	R1038 transcription
576^_	dat	R1038 transcription
576^o	voer	R1038 transcription
577	<IL>	R1038 transcription
"577^"""	C	R1038 transcription
577^CircleWithHorizontalBar	s	R1038 transcription
577^^	prepar	R1038 transcription
577^_	<IL>	R1038 transcription
577^o	voÿage	R1038 transcription
578	<IL>	R1038 transcription
"578^"""	<IL>	R1038 transcription
578^CircleWithHorizontalBar	z	R1038 transcription
578^^	president	R1038 transcription
578^_	hÿ	R1038 transcription
578^o	volbrengn	R1038 transcription
579	<IL>	R1038 transcription
"579^"""	cancelier	R1038 transcription
579^CircleWithHorizontalBar	de	R1038 transcription
579^^	presumeren	R1038 transcription
579^_	na	R1038 transcription
579^o	volhard	R1038 transcription
580	<IL>	R1038 transcription
"580^"""	<IL>	R1038 transcription
580^CircleWithHorizontalBar	en	R1038 transcription
580^^	<IL>	R1038 transcription
580^_	ss	R1038 transcription
580^o	vonnis	R1038 transcription
581	<EMPTY>	R1038 transcription
"581^"""	<IL>	R1038 transcription
581^CircleWithHorizontalBar	in	R1038 transcription
581^^	principaal	R1038 transcription
581^_	zond	R1038 transcription
581^o	voor	R1038 transcription
582	<IL>	R1038 transcription
"582^"""	<IL>	R1038 transcription
582^CircleWithHorizontalBar	naar	R1038 transcription
582^^	de Prins F	R1038 transcription
582^_	dat	R1038 transcription
582^o	voordagt	R1038 transcription
583	<IL>	R1038 transcription
"583^"""	ce	R1038 transcription
583^CircleWithHorizontalBar	s	R1038 transcription
583^^	<IL>	R1038 transcription
583^_	eerch?	R1038 transcription
583^o	voor eerst	R1038 transcription
584	<IL>	R1038 transcription
"584^"""	<IL>	R1038 transcription
584^CircleWithHorizontalBar	zÿn	R1038 transcription
584^^	procid	R1038 transcription
584^_	i	R1038 transcription
584^o	voorgemeld	R1038 transcription
585	<IL>	R1038 transcription
"585^"""	<IL>	R1038 transcription
585^CircleWithHorizontalBar	de keizerin	R1038 transcription
585^^	<EMPTY>	R1038 transcription
585^_	o	R1038 transcription
585^o	voormiddag	R1038 transcription
586	<IL>	R1038 transcription
"586^"""	cer	R1038 transcription
586^CircleWithHorizontalBar	de Keizerin Koningin	R1038 transcription
586^^	<IL>	R1038 transcription
586^_	t	R1038 transcription
586^o	voorraad	R1038 transcription
587	<IL>	R1038 transcription
"587^"""	ces	R1038 transcription
587^CircleWithHorizontalBar	haar keiz Maj.t	R1038 transcription
587^^	projectieren	R1038 transcription
587^_	zÿnde	R1038 transcription
587^o	voortgang	R1038 transcription
588	<IL>	R1038 transcription
"588^"""	cet	R1038 transcription
588^CircleWithHorizontalBar	de Koning	R1038 transcription
588^^	propon	R1038 transcription
588^_	interru?	R1038 transcription
588^o	voorvallen	R1038 transcription
589	<IL>	R1038 transcription
"589^"""	cha	R1038 transcription
589^CircleWithHorizontalBar	de Koningin	R1038 transcription
589^^	<IL>	R1038 transcription
589^_	jo	R1038 transcription
589^o	voorzien	R1038 transcription
590	<IL>	R1038 transcription
"590^"""	cher	R1038 transcription
590^CircleWithHorizontalBar	zÿn Majesteit	R1038 transcription
590^^	<IL>	R1038 transcription
590^_	<IL>	R1038 transcription
590^o	vorders	R1038 transcription
591	<IL>	R1038 transcription
"591^"""	chi?	R1038 transcription
591^CircleWithHorizontalBar	haar Majesteit	R1038 transcription
591^^	protesteeren	R1038 transcription
591^_	<IL>	R1038 transcription
591^o	die Verstinne	R1038 transcription
592	<IL>	R1038 transcription
"592^"""	<EMPTY>	R1038 transcription
592^CircleWithHorizontalBar	de Groot Vorst	R1038 transcription
592^^	provisionnal	R1038 transcription
592^_	is	R1038 transcription
592^o	vos	R1038 transcription
593	<IL>	R1038 transcription
"593^"""	<IL>	R1038 transcription
593^CircleWithHorizontalBar	zÿn Keizer* Hoogheid	R1038 transcription
593^^	publicatie	R1038 transcription
593^_	idee?	R1038 transcription
593^o	votre Excell' D	R1038 transcription
594	<IL>	R1038 transcription
"594^"""	cla	R1038 transcription
594^CircleWithHorizontalBar	zÿn ? ? Hoogheid	R1038 transcription
594^^	puis	R1038 transcription
594^_	juny	R1038 transcription
594^o	<IL>	R1038 transcription
595	d	R1038 transcription
"595^"""	<IL>	R1038 transcription
595^CircleWithHorizontalBar	zÿn ? Hoogheid	R1038 transcription
595^^	puissance ?	R1038 transcription
595^_	kan	R1038 transcription
595^o	vous	R1038 transcription
596	e	R1038 transcription
"596^"""	<IL>	R1038 transcription
596^CircleWithHorizontalBar	haar Hogheid	R1038 transcription
596^^	qua	R1038 transcription
596^_	kant	R1038 transcription
596^o	vraisemblable	R1038 transcription
597	het	R1038 transcription
"597^"""	<IL>	R1038 transcription
597^CircleWithHorizontalBar	de Prins van	R1038 transcription
597^^	quantileit?	R1038 transcription
597^_	keiserin konigin	R1038 transcription
597^o	<IL>	R1038 transcription
598	mÿ	R1038 transcription
"598^"""	<IL>	R1038 transcription
598^CircleWithHorizontalBar	de Republicq	R1038 transcription
598^^	que	R1038 transcription
598^_	ken	R1038 transcription
598^o	vreez	R1038 transcription
599	ra	R1038 transcription
"599^"""	<IL>	R1038 transcription
599^CircleWithHorizontalBar	de Graaf van	R1038 transcription
599^^	qui	R1038 transcription
599^_	<IL>	R1038 transcription
599^o	vriend	R1038 transcription
600	uit	R1038 transcription
"600^"""	<IL>	R1038 transcription
600^CircleWithHorizontalBar	de Heer	R1038 transcription
600^^	<IL>	R1038 transcription
600^_	ko	R1038 transcription
600^o	<IL>	R1038 transcription
601	d	R1038 transcription
"601^"""	<IL>	R1038 transcription
601^CircleWithHorizontalBar	het Hof	R1038 transcription
601^^	qu'on	R1038 transcription
601^_	komen	R1038 transcription
601^o	<IL>	R1038 transcription
602	e	R1038 transcription
"602^"""	<IL>	R1038 transcription
602^CircleWithHorizontalBar	het Hof te	R1038 transcription
602^^	raad	R1038 transcription
602^_	kon	R1038 transcription
602^o	vue	R1038 transcription
603	hÿ	R1038 transcription
"603^"""	confer	R1038 transcription
603^CircleWithHorizontalBar	het Hof van	R1038 transcription
603^^	raadsaam	R1038 transcription
603^_	konnen	R1038 transcription
603^o	<EMPTY>	R1038 transcription
604	mÿa	R1038 transcription
"604^"""	<IL>	R1038 transcription
604^CircleWithHorizontalBar	dit Ministerie	R1038 transcription
604^^	rappel	R1038 transcription
604^_	de Koning F	R1038 transcription
604^o	<IL>	R1038 transcription
605	re	R1038 transcription
"605^"""	<IL>	R1038 transcription
605^CircleWithHorizontalBar	het Ministerie van	R1038 transcription
605^^	rapporteeren	R1038 transcription
605^_	kon	R1038 transcription
605^o	<IL>	R1038 transcription
606	<IL>	R1038 transcription
"606^"""	<IL>	R1038 transcription
606^CircleWithHorizontalBar	s' Ambass. ? van	R1038 transcription
606^^	realiteit	R1038 transcription
606^_	konig: Maj.e F	R1038 transcription
606^o	<IL>	R1038 transcription
607	ferrit	R1038 transcription
"607^"""	<IL>	R1038 transcription
607^CircleWithHorizontalBar	d' ? Envoÿe van	R1038 transcription
607^^	rebel	R1038 transcription
607^_	<IL>	R1038 transcription
607^o	<IL>	R1038 transcription
608	feu	R1038 transcription
"608^"""	<IL>	R1038 transcription
608^CircleWithHorizontalBar	Minister	R1038 transcription
608^^	<IL>	R1038 transcription
608^_	kunnen	R1038 transcription
608^o	<IL>	R1038 transcription
609	fidel	R1038 transcription
"609^"""	<IL>	R1038 transcription
609^CircleWithHorizontalBar	de Secretaris d' Ambassad van	R1038 transcription
609^^	recom	R1038 transcription
609^_	kust?	R1038 transcription
609^o	uit	R1038 transcription
610	finette	R1038 transcription
"610^"""	<IL>	R1038 transcription
610^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
610^^	reconcilieeren	R1038 transcription
610^_	laag	R1038 transcription
610^o	uit cen	R1038 transcription
611	foible	R1038 transcription
"611^"""	<IL>	R1038 transcription
611^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
611^^	<IL>	R1038 transcription
611^_	<IL>	R1038 transcription
611^o	<IL>	R1038 transcription
612	forca	R1038 transcription
"612^"""	<IL>	R1038 transcription
612^CircleWithHorizontalBar	de Republicq	R1038 transcription
612^^	redout	R1038 transcription
612^_	laate	R1038 transcription
612^o	<IL>	R1038 transcription
613	formalitus	R1038 transcription
"613^"""	<IL>	R1038 transcription
613^CircleWithHorizontalBar	de Staat	R1038 transcription
613^^	reeds?	R1038 transcription
613^_	lan	R1038 transcription
613^o	un	R1038 transcription
614	four	R1038 transcription
"614^"""	<IL>	R1038 transcription
614^CircleWithHorizontalBar	<IL>	R1038 transcription
614^^	reflectie	R1038 transcription
614^_	<EMPTY>	R1038 transcription
614^o	<IL>	R1038 transcription
615	<IL>	R1038 transcription
"615^"""	<IL>	R1038 transcription
615^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
615^^	regard	R1038 transcription
615^_	lang	R1038 transcription
615^o	ur	R1038 transcription
616	fri	R1038 transcription
"616^"""	<IL>	R1038 transcription
616^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
616^^	regel	R1038 transcription
616^_	le	R1038 transcription
616^o	<IL>	R1038 transcription
617	Frontier	R1038 transcription
"617^"""	<IL>	R1038 transcription
617^CircleWithHorizontalBar	de Raad van Staten	R1038 transcription
617^^	la Reine de	R1038 transcription
617^_	lee	R1038 transcription
617^o	<IL>	R1038 transcription
618	fuk	R1038 transcription
"618^"""	<IL>	R1038 transcription
618^CircleWithHorizontalBar	Utriche	R1038 transcription
618^^	relat	R1038 transcription
618^_	leg	R1038 transcription
618^o	d	R1038 transcription
